timestamp,HMI_Timestamp,PV_Voltage_V,PV_Current_A,PV_Power_W,Battery_Voltage_V,Battery_Current_A,Battery_Power_W,Avg_Power_to_Battery_W,Daily_Energy_kWh,Daily_Charge_Ah,History_Max_Input_Voltage_V,Lifetime_Energy_Gen_kWh,Lifetime_Charge_Ah,Battery_Temp_C,Air_Temp_C,Humidity_pct,Air_Pressure_inHg,Wind_Speed_ms,Wind_Direction_deg,Solar_Irradiance_Wm2,UV_Index,Est_Efficiency
2026-04-28T01:13:34,04/28/202601:13,20.389999999999997,0.0,0.0,51.69,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,21.759999999999998,84.0,29.502999999999997,11.548,150.4,0.0,0.0,
2026-04-28T01:14:00,04/28/202601:14,20.41,0.0,0.0,51.68000000000001,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,21.119999999999997,83.6,29.536,11.132000000000001,139.8,0.0,0.0,
2026-04-28T01:15:01,04/28/202601:15,20.419999999999998,0.0,0.0,51.67,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,20.479999999999997,83.2,29.569,10.673,128.7,0.0,0.0,
2026-04-28T01:16:00,04/28/202601:16,20.43,0.0,0.0,51.660000000000004,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,19.839999999999996,82.8,29.601999999999997,10.214,117.6,0.0,0.0,
2026-04-28T01:17:01,04/28/202601:17,20.44,0.0,0.0,51.65,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,19.18,82.1,29.635,9.662,106.6,0.0,0.0,
2026-04-28T01:18:00,04/28/202601:18,20.45,0.0,0.0,51.64,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,18.52,81.4,29.668,9.110000000000001,95.6,0.0,0.0,
2026-04-28T01:18:37,04/28/202601:18,20.46,0.0,0.0,51.63000000000001,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,17.86,80.7,29.701,8.558,84.6,0.0,0.0,
2026-04-28T01:19:01,04/28/202601:19,20.46,0.0,0.0,51.620000000000005,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,17.2,80.0,29.734,8.006,73.6,0.0,0.0,
2026-04-28T01:19:36,04/28/202601:19,20.47,0.0,0.0,51.61,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,16.54,79.3,29.767000000000003,7.454000000000001,62.6,0.0,0.0,
2026-04-28T01:20:00,04/28/202601:20,20.48,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.88,78.6,29.8,6.901999999999999,51.6,0.0,0.0,
2026-04-28T01:21:01,04/28/202601:21,20.48,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.86,78.7,29.8,6.809,51.7,0.0,0.0,
2026-04-28T01:21:36,04/28/202601:21,20.47,0.0,0.0,51.589999999999996,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.84,78.8,29.8,6.715999999999999,51.8,0.0,0.0,
2026-04-28T01:22:01,04/28/202601:22,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.820000000000002,78.9,29.8,6.623,51.9,0.0,0.0,
2026-04-28T01:22:36,04/28/202601:22,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:23:01,04/28/202601:23,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:24:45,04/28/202601:24,20.46,0.0,0.0,51.57000000000001,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:25:01,04/28/202601:25,20.47,0.0,0.0,51.56,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:25:37,04/28/202601:25,20.47,0.0,0.0,51.57000000000001,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:26:01,04/28/202601:26,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:26:36,04/28/202601:26,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:27:00,04/28/202601:27,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:28:01,04/28/202601:28,20.47,0.0,0.0,51.589999999999996,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:29:01,04/28/202601:29,20.48,0.0,0.0,51.61,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:30:01,04/28/202601:30,20.48,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:30:51,04/28/202601:30,20.47,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:31:01,04/28/202601:31,20.46,0.0,0.0,51.61,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.8,79.0,29.8,6.529999999999999,52.0,0.0,0.0,
2026-04-28T01:32:01,04/28/202601:32,20.45,0.0,0.0,51.620000000000005,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.770000000000001,79.0,29.802,6.554,52.4,0.0,0.0,
2026-04-28T01:33:01,04/28/202601:33,20.45,0.0,0.0,51.61,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.74,79.0,29.804000000000002,6.578,52.8,0.0,0.0,
2026-04-28T01:33:38,04/28/202601:33,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.709999999999999,79.0,29.806,6.601999999999999,53.2,0.0,0.0,
2026-04-28T01:34:01,04/28/202601:34,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.680000000000001,79.0,29.808,6.626,53.6,0.0,0.0,
2026-04-28T01:35:56,04/28/202601:35,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.65,79.0,29.810000000000002,6.65,54.0,0.0,0.0,
2026-04-28T01:36:00,04/28/202601:36,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.62,79.0,29.812,6.6739999999999995,54.4,0.0,0.0,
2026-04-28T01:37:00,04/28/202601:37,20.46,0.0,0.0,51.589999999999996,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.59,79.0,29.814,6.698,54.8,0.0,0.0,
2026-04-28T01:37:38,04/28/202601:37,20.45,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.559999999999999,79.0,29.816000000000003,6.7219999999999995,55.2,0.0,0.0,
2026-04-28T01:38:00,04/28/202601:38,20.45,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.530000000000001,79.0,29.818,6.7459999999999996,55.6,0.0,0.0,
2026-04-28T01:38:38,04/28/202601:38,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:39:00,04/28/202601:39,20.47,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:39:38,04/28/202601:39,20.47,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:40:01,04/28/202601:40,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:40:38,04/28/202601:40,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:41:00,04/28/202601:41,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:42:00,04/28/202601:42,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:43:00,04/28/202601:43,20.46,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:43:38,04/28/202601:43,20.46,0.0,0.0,51.589999999999996,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:44:00,04/28/202601:44,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:44:38,04/28/202601:44,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
2026-04-28T01:45:00,04/28/202601:45,20.46,0.0,0.0,51.58,0.0,0.0,0.0,0.0,0.0,198.7,23852.0,45123.0,18.0,15.5,79.0,29.82,6.769999999999999,56.0,0.0,0.0,
