timestamp,PC1,PC2,PC3,PC4,PC5,PC6,solar_generation_mw
2016-07-02 00:00:00+00:00,1.7672586101831584,-2.154007066035775,-1.0413140474596112,0.8291277815958848,0.23593499331583345,-0.2215196993110514,0.0
2016-07-02 01:00:00+00:00,1.7310973454053455,-2.0725056199886702,-1.0062720576580808,0.9406359402592984,0.1472558472661349,-0.03881392425582482,0.0
2016-07-02 02:00:00+00:00,1.4712569292340911,-2.0079442673115673,-1.2456314506682213,0.7219157132244582,0.24444075443244845,0.13472824740545253,0.4
2016-07-02 03:00:00+00:00,1.4926154634398427,-2.1674693759670633,-0.902980110378213,0.3632971618523322,0.22386267402854998,0.0648833763485028,42.0
2016-07-02 04:00:00+00:00,1.915158839230138,-1.7338571982351922,-0.7695764706327276,0.3044258825595234,0.13509330493600874,0.11402107712454015,314.2
2016-07-02 05:00:00+00:00,2.4004655476799366,-1.3856957426113112,-0.590282685248095,0.1168942865682038,-0.1399108016621156,0.4531866198951662,953.2
2016-07-02 06:00:00+00:00,2.966532648206507,-0.7036750347307236,-0.4276287192181148,0.18426818971982759,-0.1703550491215287,0.3593436422102427,2003.4
2016-07-02 07:00:00+00:00,3.481445511441471,-0.175522943258893,-0.5087951985860958,0.13109150598960131,-0.2818356521557216,0.5099724759481655,3473.8
2016-07-02 08:00:00+00:00,3.872333016276916,0.5390579009140175,-0.7952260528545406,0.20972577762524447,-0.2825463268575708,0.6571846929305548,5244.2
2016-07-02 09:00:00+00:00,3.9735587169745834,0.9643213370698434,-1.1825531975925363,-0.015974298318369384,-0.3019179889360233,1.029146607316264,7001.2
2016-07-02 10:00:00+00:00,3.942892687862014,1.1471333005164812,-1.556830365961141,-0.45831062545502216,-0.009884055926003388,0.8520220722025147,8538.4
2016-07-02 11:00:00+00:00,3.609267704435571,0.683893070448839,-1.4476852196614427,-1.3112610665613447,0.19513956799777715,0.6883299001038518,9592.0
2016-07-02 12:00:00+00:00,3.3808025943503854,1.5061294567127763,-1.677847659944574,-0.3142869706654039,-0.04432378298046402,1.4563891442289514,10249.4
2016-07-02 13:00:00+00:00,2.99903663844954,0.8503561593932665,-1.5066613667283626,-0.8080469608484273,0.13090360843395035,1.1661018501661249,10469.4
2016-07-02 14:00:00+00:00,2.75945319058429,0.46011681645371066,-1.0987743212478724,-0.6970987264515063,0.3534048428905666,0.5462361412680987,10257.8
